NUM,POINT_NM,MAP_ID,MAP_NM,FILE_NM,MAP_X,MAP_Y,CHEMICALS,POINT_TYPE,ALARM_YN
1,001-1-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,22.203000,13.333000,CPE-755 (에칭조합),Film,0
2,001-2-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,25.854000,13.205000,CPE-755(에칭원액),Film,0
3,001-3-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,24.028000,13.333000,황산,Film,0
4,001-4-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,27.680000,12.949000,과산화수소,Film,0
5,002-1-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,29.623000,12.692000,CPE-755,Film,0
6,004-1-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,22.850000,17.821000,MCD-PL,Film,0
7,004-2-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,24.735000,17.692000,MDP-2,Film,0
8,004-3-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,26.502000,17.692000,MAT-SP,Film,0
9,004-4-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,28.327000,17.692000,"MAB-4-A,C",Film,0
10,005-1-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,35.277000,18.205000,PEA-6-B-2X,Film,0
11,005-2-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,37.161000,18.077000,PEA-6D,Film,0
12,006-1-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,22.674000,23.718000,H2O2 TANK,Film,1
13,007-1-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,39.458000,22.949000,BASIC,PS,0
14,007-2-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,41.284000,22.949000,CU,PS,0
15,008-1-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,50.412000,23.205000,Copper U,Film,0
16,008-2-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,52.179000,23.205000,황산 + 과수,Film,0
17,009-1-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,72.144000,14.744000,황산 + 과수,Film,0
18,009-2-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,74.087000,14.615000,가성소다,Film,0
19,010-1-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,22.674000,30.256000,과산화수소,PS,0
20,010-2-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,24.558000,30.128000,염산,PS,0
21,010-3-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,26.384000,30.000000,황산,PS,0
22,011-1-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,30.094000,30.128000,화학동 환원제,PS,0
23,011-2-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,31.979000,30.128000,CU,Film,0
24,011-3-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,33.863000,30.000000,수산화나트륨,Film,0
25,012-1-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,38.810000,30.256000,황산 + 과수(박리조),Film,1
26,012-2-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,40.695000,30.256000,황산 + 과수(이송조),Film,1
27,012-3-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,42.638000,30.256000,황산,Film,0
28,013-1-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,55.359000,31.410000,YSP ? DB2(에칭저장),Film,1
29,013-2-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,55.418000,34.359000,황산 + 과수,Film,0
30,013-3-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,57.244000,31.282000,YSP ? DB2,Film,1
31,013-4-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,57.362000,34.487000,YSP ? DB2(에칭조합),Film,0
32,014-1-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,63.133000,26.154000,황산,Film,0
33,015-1-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,22.909000,34.744000,과산화수소,Film,0
34,015-2-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,24.794000,34.744000,SECVRIGANTH,Film,0
35,016-1-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,27.091000,48.077000,가성소다,Film,0
36,016-2-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,27.091000,44.872000,가성소다,Film,0
37,016-3-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,26.973000,41.282000,황산 + 과수,Film,0
38,017-1-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,27.032000,56.410000,과산화수소,Film,0
39,017-2-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,27.032000,53.462000,가성소다,Film,0
40,018-1-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,27.150000,67.051000,COPPER P,Film,1
41,018-2-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,27.150000,64.103000,P BASIC,Film,1
42,018-3-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,27.150000,61.410000,CU,Film,1
43,018-4-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,27.091000,58.718000,황산,Film,1
44,019-1-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,28.563000,37.564000,황산,Film,1
45,020-1-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,42.403000,39.872000,황산,Film,1
46,021-1-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,52.002000,40.000000,황산,PS,0
47,022-1-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,42.403000,52.051000,HS-2W B-1,Film,0
48,023-1-PKG-A 1층,P2001,PKG-A 1층,PKG_A_1F.jpg,52.532000,64.744000,CU-BRITE A.B.C,Film,0
49,024-1-PKG-A 3층,P2003,PKG-A 3층,PKG_A_3F.jpg,36.219000,11.538000,과망 간산+수산화,Film,0
